Number,Column1,Group1,Group2,Group3,Group4,Group5,Group6,
5.10.1.1.5.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Commissioning Lift Installations,Commissioning Lift Installations,
5.10.1.2,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,,,
5.10.1.2.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,Enclosed Hoists,,
5.10.1.2.1.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,Enclosed Hoists,Enclosed Hoists,
5.10.1.2.2,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,Testing of Enclosed Hoists Installations,,
5.10.1.2.2.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,Testing of Enclosed Hoists Installations,Testing of Enclosed Hoists Installations,
5.10.1.2.3,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,Commissioning of Enclosed Hoists Installations,,
5.10.1.2.3.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Enclosed Hoists,Commissioning of Enclosed Hoists Installations,Commissioning of Enclosed Hoists Installations,
5.10.10,,Services,Lift and Conveyor Installations,Other Lift and Conveyor Installations,,,,
5.10.10.1,,Services,Lift and Conveyor Installations,Other Lift and Conveyor Installations,,,Other Lift and Conveyor Installations,
5.10.2,,Services,Lift and Conveyor Installations,Escalators,,,,
5.10.2.1,,Services,Lift and Conveyor Installations,Escalators,Escalators,,,
5.10.2.1.1,,Services,Lift and Conveyor Installations,Escalators,Escalators,,Escalators,
5.10.3,,Services,Lift and Conveyor Installations,Moving Pavements,,,,
5.10.3.1,,Services,Lift and Conveyor Installations,Moving Pavements,Movement Pavements,,,
5.10.3.1.1,,Services,Lift and Conveyor Installations,Moving Pavements,Movement Pavements,,Movement Pavements,
5.10.3.2,,Services,Lift and Conveyor Installations,Moving Pavements,Testing of Installations,,,
5.10.3.2.1,,Services,Lift and Conveyor Installations,Moving Pavements,Testing of Installations,,Testing of Installations,
5.10.3.3,,Services,Lift and Conveyor Installations,Moving Pavements,Commissioning of Installations,,,
5.10.3.3.1,,Services,Lift and Conveyor Installations,Moving Pavements,Commissioning of Installations,,Commissioning of Installations,
5.10.4,,Services,Lift and Conveyor Installations,Powered Stairlifts,,,,
5.10.4.1,,Services,Lift and Conveyor Installations,Powered Stairlifts,Powered Stairlifts,,,
5.10.4.1.1,,Services,Lift and Conveyor Installations,Powered Stairlifts,Powered Stairlifts,,Powered Stairlifts,
5.10.4.2,,Services,Lift and Conveyor Installations,Powered Stairlifts,Testing of Installations,,,
5.10.4.2.1,,Services,Lift and Conveyor Installations,Powered Stairlifts,Testing of Installations,,Testing of Installations,
5.10.4.3,,Services,Lift and Conveyor Installations,Powered Stairlifts,Commissioning of Installations,,,
5.10.4.3.1,,Services,Lift and Conveyor Installations,Powered Stairlifts,Commissioning of Installations,,Commissioning of Installations,
5.10.5,,Services,Lift and Conveyor Installations,Conveyors,,,,
5.10.5.1,,Services,Lift and Conveyor Installations,Conveyors,People Conveyors,,,
5.10.5.1.1,,Services,Lift and Conveyor Installations,Conveyors,People Conveyors,,People Conveyors,
5.10.5.2,,Services,Lift and Conveyor Installations,Conveyors,Goods Conveyor,,,
5.10.5.2.1,,Services,Lift and Conveyor Installations,Conveyors,Goods Conveyor,,Goods Conveyor,
5.10.5.3,,Services,Lift and Conveyor Installations,Conveyors,Testing of Installations,,,
5.10.5.3.1,,Services,Lift and Conveyor Installations,Conveyors,Testing of Installations,,Testing of Installations,
5.10.5.4,,Services,Lift and Conveyor Installations,Conveyors,Commissioning of Installations,,,
5.10.5.4.1,,Services,Lift and Conveyor Installations,Conveyors,Commissioning of Installations,,Commissioning of Installations,
5.10.6,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,,,,
5.10.6.1,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Dock Levellers and Scissor Lifts,,,
5.10.6.1.1,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Dock Levellers and Scissor Lifts,,Dock Levellers and Scissor Lifts,
5.10.6.2,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Scissor Lifts,,,
5.10.6.2.1,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Scissor Lifts,,Scissor Lifts,
5.10.6.3,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Testing of Installations,,,
5.10.6.3.1,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Testing of Installations,,Testing of Installations,
5.10.6.4,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Commissioning of Installations,,,
5.10.6.4.1,,Services,Lift and Conveyor Installations,Dock Levellers and Scissor Lifts,Commissioning of Installations,,Commissioning of Installations,
5.10.7,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,,,,
5.10.7.1,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Cranes,,,
5.10.7.1.1,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Cranes,,Cranes,
5.10.7.2,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Travelling Cranes,,,
5.10.7.2.1,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Travelling Cranes,,Travelling Cranes,
5.10.7.3,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Unenclosed Hoists,,,
5.10.7.3.1,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Unenclosed Hoists,,Unenclosed Hoists,
5.10.7.4,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Testing of Installations,,,
5.10.7.4.1,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Testing of Installations,,Testing of Installations,
5.10.7.5,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Commissioning of Installations,,,
5.10.7.5.1,,Services,Lift and Conveyor Installations,Cranes and Enclosed Hoists,Commissioning of Installations,,Commissioning of Installations,
5.10.8,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,,,,
5.10.8.1,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Car Lifts,,,
5.10.8.1.1,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Car Lifts,,Car Lifts,
5.10.8.2,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Car Stacking Systems,,,
5.10.8.2.1,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Car Stacking Systems,,Car Stacking Systems,
5.10.8.3,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Vehicle Turntables,,,
5.10.8.3.1,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Vehicle Turntables,,Vehicle Turntables,
5.10.8.4,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Testing of Installations,,,
5.10.8.4.1,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Testing of Installations,,Testing of Installations,
5.10.8.5,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Commissioning of Installations,,,
5.10.8.5.1,,Services,Lift and Conveyor Installations,Car Lifts Car Stacking Systems,Commissioning of Installations,,Commissioning of Installations,
5.10.9,,Services,Lift and Conveyor Installations,Document Handling Systems,,,,
5.10.9.1,,Services,Lift and Conveyor Installations,Document Handling Systems,Document Handling Delivery Systems,,,
5.10.9.1.1,,Services,Lift and Conveyor Installations,Document Handling Systems,Document Handling Delivery Systems,,Document Handling Delivery Systems,
5.10.9.2,,Services,Lift and Conveyor Installations,Document Handling Systems,Warehouse Picking Systems,,,
5.10.9.2.1,,Services,Lift and Conveyor Installations,Document Handling Systems,Warehouse Picking Systems,,Warehouse Picking Systems,
5.10.9.3,,Services,Lift and Conveyor Installations,Document Handling Systems,Other Systems,,,
5.10.9.3.1,,Services,Lift and Conveyor Installations,Document Handling Systems,Other Systems,,Other Systems,
5.10.9.4,,Services,Lift and Conveyor Installations,Document Handling Systems,Testing of Installations,,,
5.10.9.4.1,,Services,Lift and Conveyor Installations,Document Handling Systems,Testing of Installations,,Testing of Installations,
5.10.9.5,,Services,Lift and Conveyor Installations,Document Handling Systems,Commissioning of Installations,,,
5.10.9.5.1,,Services,Lift and Conveyor Installations,Document Handling Systems,Commissioning of Installations,,Commissioning of Installations,
5.11,,Services,Fire and lighting Protection,,,,,
5.11.1,,Services,Fire and lighting Protection,Fire Fighting Systems,,,,
5.11.1.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Fire Hose Reels,,,
5.11.1.1.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Fire Hose Reels,,Fire Hose Reels,
5.11.1.2,,Services,Fire and lighting Protection,Fire Fighting Systems,Dry Risers,,,
5.11.1.2.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Dry Risers,,Dry Risers,
5.11.1.3,,Services,Fire and lighting Protection,Fire Fighting Systems,Wet Risers,,,
5.11.1.3.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Wet Risers,,Wet Risers,
5.11.1.4,,Services,Fire and lighting Protection,Fire Fighting Systems,Fire and Smoke Protection Curtain,,,
5.11.1.4.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Fire and Smoke Protection Curtain,,Fire and Smoke Protection Curtain,
5.11.1.5,,Services,Fire and lighting Protection,Fire Fighting Systems,Other Fire Fighting Systems,,,
5.11.1.5.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Other Fire Fighting Systems,,Other Fire Fighting Systems,
5.11.1.6,,Services,Fire and lighting Protection,Fire Fighting Systems,Testing of Installations,,,
5.11.1.6.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Testing of Installations,,Testing of Installations,
5.11.1.7,,Services,Fire and lighting Protection,Fire Fighting Systems,Commissioning of Installations,,,
5.11.1.7.1,,Services,Fire and lighting Protection,Fire Fighting Systems,Commissioning of Installations,,Commissioning of Installations,
5.11.2,,Services,Fire and lighting Protection,Fire Supression Systems,,,,
5.11.2.1,,Services,Fire and lighting Protection,Fire Supression Systems,Sprinklers,,,
5.11.2.1.1,,Services,Fire and lighting Protection,Fire Supression Systems,Sprinklers,,Sprinklers,
5.11.2.2,,Services,Fire and lighting Protection,Fire Supression Systems,Deluge Systems,,,
5.11.2.2.1,,Services,Fire and lighting Protection,Fire Supression Systems,Deluge Systems,,Deluge Systems,
5.11.2.3,,Services,Fire and lighting Protection,Fire Supression Systems,Gas Fire Fighting Systems,,,
5.11.2.3.1,,Services,Fire and lighting Protection,Fire Supression Systems,Gas Fire Fighting Systems,,Gas Fire Fighting Systems,
5.11.2.4,,Services,Fire and lighting Protection,Fire Supression Systems,Foam Fire Fighting Systems,,,
5.11.2.4.1,,Services,Fire and lighting Protection,Fire Supression Systems,Foam Fire Fighting Systems,,Foam Fire Fighting Systems,
5.11.2.5,,Services,Fire and lighting Protection,Fire Supression Systems,Other Fire Supression Systems,,,
5.11.2.5.1,,Services,Fire and lighting Protection,Fire Supression Systems,Other Fire Supression Systems,,Other Fire Supression Systems,
5.11.2.6,,Services,Fire and lighting Protection,Fire Supression Systems,Testing of Installations,,,
5.11.2.6.1,,Services,Fire and lighting Protection,Fire Supression Systems,Testing of Installations,,Testing of Installations,
5.11.2.7,,Services,Fire and lighting Protection,Fire Supression Systems,Commissioning of Installations,,,
5.11.2.7.1,,Services,Fire and lighting Protection,Fire Supression Systems,Commissioning of Installations,,Commissioning of Installations,
5.11.3,,Services,Fire and lighting Protection,Lightning Protection,,,,
5.11.3.1,,Services,Fire and lighting Protection,Lightning Protection,Lightning Protection Installations,,,
5.11.3.1.1,,Services,Fire and lighting Protection,Lightning Protection,Lightning Protection Installations,,Lightning Protection Installations,
5.11.3.2,,Services,Fire and lighting Protection,Lightning Protection,Testing of Installations,,,
5.11.3.2.1,,Services,Fire and lighting Protection,Lightning Protection,Testing of Installations,,Testing of Installations,
5.11.3.3,,Services,Fire and lighting Protection,Lightning Protection,Commissioning of Installations,,,
5.11.3.3.1,,Services,Fire and lighting Protection,Lightning Protection,Commissioning of Installations,,Commissioning of Installations,
5.12,,Services,Communication Security and Control Systems,,,,,
5.12.1,,Services,Communication Security and Control Systems,Communication Systems,,,,
5.12.1.1,,Services,Communication Security and Control Systems,Communication Systems,Telecommunication Systems,,,
5.12.1.1.1,,Services,Communication Security and Control Systems,Communication Systems,Telecommunication Systems,,Telecommunication Systems,
5.12.1.10,,Services,Communication Security and Control Systems,Communication Systems,Clocks Card Clocks Flexitime Installations,,,
5.12.1.10.1,,Services,Communication Security and Control Systems,Communication Systems,Clocks Card Clocks Flexitime Installations,,Clocks Card Clocks Flexitime Installations,
5.12.1.11,,Services,Communication Security and Control Systems,Communication Systems,Door Entry Systems,,,
5.12.1.11.1,,Services,Communication Security and Control Systems,Communication Systems,Door Entry Systems,,Door Entry Systems,
5.12.1.12,,Services,Communication Security and Control Systems,Communication Systems,Radio and Televisions,,,
5.12.1.12.1,,Services,Communication Security and Control Systems,Communication Systems,Radio and Televisions,,Radio and Televisions,
5.12.1.13,,Services,Communication Security and Control Systems,Communication Systems,Television Systems,,,
5.12.1.13.1,,Services,Communication Security and Control Systems,Communication Systems,Television Systems,,Television Systems,
5.12.1.14,,Services,Communication Security and Control Systems,Communication Systems,TV Monitors,,,
5.12.1.14.1,,Services,Communication Security and Control Systems,Communication Systems,TV Monitors,,TV Monitors,
5.12.1.15,,Services,Communication Security and Control Systems,Communication Systems,Pneumatic Message Systems,,,
5.12.1.15.1,,Services,Communication Security and Control Systems,Communication Systems,Pneumatic Message Systems,,Pneumatic Message Systems,
5.12.1.16,,Services,Communication Security and Control Systems,Communication Systems,Other Communication Systems,,,
5.12.1.16.1,,Services,Communication Security and Control Systems,Communication Systems,Other Communication Systems,,Other Communication Systems,
5.12.1.17,,Services,Communication Security and Control Systems,Communication Systems,Testing of Installations,,,
5.12.1.17.1,,Services,Communication Security and Control Systems,Communication Systems,Testing of Installations,,Testing of Installations,
5.12.1.18,,Services,Communication Security and Control Systems,Communication Systems,Commissioning of Installations,,,
5.12.1.18.1,,Services,Communication Security and Control Systems,Communication Systems,Commissioning of Installations,,Commissioning of Installations,
5.12.1.2,,Services,Communication Security and Control Systems,Communication Systems,Data Transmission Systems,,,
5.12.1.2.1,,Services,Communication Security and Control Systems,Communication Systems,Data Transmission Systems,,Data Transmission Systems,
5.12.1.3,,Services,Communication Security and Control Systems,Communication Systems,Paging and Emergency Call Systems,,,
5.12.1.3.1,,Services,Communication Security and Control Systems,Communication Systems,Paging and Emergency Call Systems,,Paging and Emergency Call Systems,
5.12.1.4,,Services,Communication Security and Control Systems,Communication Systems,Public Address and Conference Audio Systems,,,
5.12.1.4.1,,Services,Communication Security and Control Systems,Communication Systems,Public Address and Conference Audio Systems,,Public Address and Conference Audio Systems,
5.12.1.5,,Services,Communication Security and Control Systems,Communication Systems,Radio Systems,,,
5.12.1.5.1,,Services,Communication Security and Control Systems,Communication Systems,Radio Systems,,Radio Systems,
5.12.1.6,,Services,Communication Security and Control Systems,Communication Systems,Projection Systems,,,
5.12.1.6.1,,Services,Communication Security and Control Systems,Communication Systems,Projection Systems,,Projection Systems,
5.12.1.7,,Services,Communication Security and Control Systems,Communication Systems,Fire Detection and Alarm Systems,,,
5.12.1.7.1,,Services,Communication Security and Control Systems,Communication Systems,Fire Detection and Alarm Systems,,Fire Detection and Alarm Systems,
5.12.1.8,,Services,Communication Security and Control Systems,Communication Systems,Smoke Detection and Alarm Systems,,,
5.12.1.8.1,,Services,Communication Security and Control Systems,Communication Systems,Smoke Detection and Alarm Systems,,Smoke Detection and Alarm Systems,
5.12.1.9,,Services,Communication Security and Control Systems,Communication Systems,Liquid Detection Systems,,,
5.12.1.9.1,,Services,Communication Security and Control Systems,Communication Systems,Liquid Detection Systems,,Liquid Detection Systems,
5.12.2,,Services,Communication Security and Control Systems,Security Systems,,,,
5.12.2.1,,Services,Communication Security and Control Systems,Security Systems,Surveillance Equipment,,,
5.12.2.1.1,,Services,Communication Security and Control Systems,Security Systems,Surveillance Equipment,,Surveillance Equipment,
5.12.2.10,,Services,Communication Security and Control Systems,Security Systems,Commissioning of Installations,,,
5.12.2.10.1,,Services,Communication Security and Control Systems,Security Systems,Commissioning of Installations,,Commissioning of Installations,
5.12.2.2,,Services,Communication Security and Control Systems,Security Systems,Security Detection Equipment,,,
5.12.2.2.1,,Services,Communication Security and Control Systems,Security Systems,Security Detection Equipment,,Security Detection Equipment,
5.12.2.3,,Services,Communication Security and Control Systems,Security Systems,Security Alarm,,,
5.12.2.3.1,,Services,Communication Security and Control Systems,Security Systems,Security Alarm,,Security Alarm,
5.12.2.4,,Services,Communication Security and Control Systems,Security Systems,Access Control Systems,,,
5.12.2.4.1,,Services,Communication Security and Control Systems,Security Systems,Access Control Systems,,Access Control Systems,
5.12.2.5,,Services,Communication Security and Control Systems,Security Systems,Burglar and Security Alarms,,,
5.12.2.5.1,,Services,Communication Security and Control Systems,Security Systems,Burglar and Security Alarms,,Burglar and Security Alarms,
5.12.2.6,,Services,Communication Security and Control Systems,Security Systems,Door Entry Systems,,,
5.12.2.6.1,,Services,Communication Security and Control Systems,Security Systems,Door Entry Systems,,Door Entry Systems,
5.12.2.7,,Services,Communication Security and Control Systems,Security Systems,Security Lights and Lighting Systems,,,
5.12.2.7.1,,Services,Communication Security and Control Systems,Security Systems,Security Lights and Lighting Systems,,Security Lights and Lighting Systems,
5.12.2.8,,Services,Communication Security and Control Systems,Security Systems,Other Security Systems,,,
5.12.2.8.1,,Services,Communication Security and Control Systems,Security Systems,Other Security Systems,,Other Security Systems,
5.12.2.9,,Services,Communication Security and Control Systems,Security Systems,Testing of Installations,,,
5.12.2.9.1,,Services,Communication Security and Control Systems,Security Systems,Testing of Installations,,Testing of Installations,
5.12.3,,Services,Communication Security and Control Systems,Central Control Building Management Systems,,,,
5.12.3.1,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Central Control Building Management Systems,,,
5.12.3.1.1,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Central Control Building Management Systems,,Central Control Building Management Systems,
5.12.3.2,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Computer Aided Management Facilities Management System,,,
5.12.3.2.1,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Computer Aided Management Facilities Management System,,Computer Aided Management Facilities Management System,
5.12.3.3,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Testing of Installations,,,
5.12.3.3.1,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Testing of Installations,,Testing of Installations,
5.12.3.4,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Commissioning of Installations,,,
5.12.3.4.1,,Services,Communication Security and Control Systems,Central Control Building Management Systems,Commissioning of Installations,,Commissioning of Installations,
5.13,,Services,Specialist Installations,,,,,
5.13.1,,Services,Specialist Installations,Specialist Piped Supply Installations,,,,
5.13.1.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Medical and Laboratory Gas Supply Systems,,,
5.13.1.1.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Medical and Laboratory Gas Supply Systems,,Medical and Laboratory Gas Supply Systems,
5.13.1.2,,Services,Specialist Installations,Specialist Piped Supply Installations,Centralised Vacuum Cleaning Systems,,,
5.13.1.2.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Centralised Vacuum Cleaning Systems,,Centralised Vacuum Cleaning Systems,
5.13.1.3,,Services,Specialist Installations,Specialist Piped Supply Installations,Treated Water Systems,,,
5.13.1.3.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Treated Water Systems,,Treated Water Systems,
5.13.1.4,,Services,Specialist Installations,Specialist Piped Supply Installations,Swimming Pool Water Treatment Systems,,,
5.13.1.4.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Swimming Pool Water Treatment Systems,,Swimming Pool Water Treatment Systems,
5.13.1.5,,Services,Specialist Installations,Specialist Piped Supply Installations,Compressed Air Systems,,,
5.13.1.5.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Compressed Air Systems,,Compressed Air Systems,
5.13.1.6,,Services,Specialist Installations,Specialist Piped Supply Installations,Vacuum Installations,,,
5.13.1.6.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Vacuum Installations,,Vacuum Installations,
5.13.1.7,,Services,Specialist Installations,Specialist Piped Supply Installations,Other Specialist Piped Supply Systems,,,
5.13.1.7.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Other Specialist Piped Supply Systems,,Other Specialist Piped Supply Systems,
5.13.1.8,,Services,Specialist Installations,Specialist Piped Supply Installations,Testing of Installations,,,
5.13.1.8.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Testing of Installations,,Testing of Installations,
5.13.1.9,,Services,Specialist Installations,Specialist Piped Supply Installations,Commissioning of Installations,,,
5.13.1.9.1,,Services,Specialist Installations,Specialist Piped Supply Installations,Commissioning of Installations,,Commissioning of Installations,
5.13.2,,Services,Specialist Installations,Specialist Refrigeration Systems,,,,
5.13.2.1,,Services,Specialist Installations,Specialist Refrigeration Systems,Cold Rooms,,,
5.13.2.1.1,,Services,Specialist Installations,Specialist Refrigeration Systems,Cold Rooms,,Cold Rooms,
5.13.2.2,,Services,Specialist Installations,Specialist Refrigeration Systems,Ice Pads,,,
5.13.2.2.1,,Services,Specialist Installations,Specialist Refrigeration Systems,Ice Pads,,Ice Pads,
5.13.2.3,,Services,Specialist Installations,Specialist Refrigeration Systems,Other Specialist Refrigeration Systems,,,
5.13.2.3.1,,Services,Specialist Installations,Specialist Refrigeration Systems,Other Specialist Refrigeration Systems,,Other Specialist Refrigeration Systems,
5.13.2.4,,Services,Specialist Installations,Specialist Refrigeration Systems,Testing of Installations,,,
5.13.2.4.1,,Services,Specialist Installations,Specialist Refrigeration Systems,Testing of Installations,,Testing of Installations,
5.13.2.5,,Services,Specialist Installations,Specialist Refrigeration Systems,Commissioning of Installations,,,
5.13.2.5.1,,Services,Specialist Installations,Specialist Refrigeration Systems,Commissioning of Installations,,Commissioning of Installations,
5.13.3,,Services,Specialist Installations,Specialist Mechanical Installations,,,,
5.13.3.1,,Services,Specialist Installations,Specialist Mechanical Installations,Other Specialist Installations,,,
5.13.3.1.1,,Services,Specialist Installations,Specialist Mechanical Installations,Other Specialist Installations,,Other Specialist Installations,
5.13.3.2,,Services,Specialist Installations,Specialist Mechanical Installations,Testing of Installations,,,
5.13.3.2.1,,Services,Specialist Installations,Specialist Mechanical Installations,Testing of Installations,,Testing of Installations,
5.13.3.3,,Services,Specialist Installations,Specialist Mechanical Installations,Commissioning of Installations,,,
5.13.3.3.1,,Services,Specialist Installations,Specialist Mechanical Installations,Commissioning of Installations,,Commissioning of Installations,
5.13.4,,Services,Specialist Installations,Specialist Electrical Electronic Installations,,,,
5.13.4.1,,Services,Specialist Installations,Specialist Electrical Electronic Installations,Specialist Electrical and Electronic Installations and or Systems,,,
5.13.4.1.1,,Services,Specialist Installations,Specialist Electrical Electronic Installations,Specialist Electrical and Electronic Installations and or Systems,,Specialist Electrical and Electronic Installations and or Systems,
5.13.4.2,,Services,Specialist Installations,Specialist Electrical Electronic Installations,Testing of Installations,,,
5.13.4.2.1,,Services,Specialist Installations,Specialist Electrical Electronic Installations,Testing of Installations,,Testing of Installations,
5.13.4.3,,Services,Specialist Installations,Specialist Electrical Electronic Installations,Commissioning of Installations,,,
5.13.4.3.1,,Services,Specialist Installations,Specialist Electrical Electronic Installations,Commissioning of Installations,,Commissioning of Installations,
5.13.5,,Services,Specialist Installations,Water Features,,,,
5.13.5.1,,Services,Specialist Installations,Water Features,Water Features,,,
5.13.5.1.1,,Services,Specialist Installations,Water Features,Water Features,,Water Features,
5.13.5.2,,Services,Specialist Installations,Water Features,Testing of Installations,,,
5.13.5.2.1,,Services,Specialist Installations,Water Features,Testing of Installations,,Testing of Installations,
5.13.5.3,,Services,Specialist Installations,Water Features,Commissioning of Installations,,,
5.13.5.3.1,,Services,Specialist Installations,Water Features,Commissioning of Installations,,Commissioning of Installations,
5.14,,Services,Builders Work in Connection With Services,,,,,
5.14.1,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,,,,
5.14.1.1,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Builders Work in General Areas,,,
5.14.1.1.1,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Builders Work in General Areas,,Builders Work in General Areas,
5.14.1.2,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Builders Work in Landlord Areas,,,
5.14.1.2.1,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Builders Work in Landlord Areas,,Builders Work in Landlord Areas,
5.14.1.3,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Large Plant and Equipment Bases,,,
5.14.1.3.1,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Large Plant and Equipment Bases,,Large Plant and Equipment Bases,
5.14.1.4,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Fuel Bunds,,,
5.14.1.4.1,,Services,Builders Work in Connection With Services,Builders Work in Connection With Services,Fuel Bunds,,Fuel Bunds,
5.2,,Services,Services Equipment,,,,,
5.2.1,,Services,Services Equipment,Services Equipment,,,,
5.2.1.1,,Services,Services Equipment,Services Equipment,Services Equipment,,,
5.2.1.1.1,,Services,Services Equipment,Services Equipment,Services Equipment,,Services Equipment,
5.2.1.2,,Services,Services Equipment,Services Equipment,Testing of Installations,,,
5.2.1.2.1,,Services,Services Equipment,Services Equipment,Testing of Installations,,Testing of Installations,
5.2.1.3,,Services,Services Equipment,Services Equipment,Commissioning of Installations,,,
5.2.1.3.1,,Services,Services Equipment,Services Equipment,Commissioning of Installations,,Commissioning of Installations,
5.3,,Services,Disposal Installations,,,,,
5.3.1,,Services,Disposal Installations,Foul Drainage Above Ground,,,,
5.3.1.1,,Services,Disposal Installations,Foul Drainage Above Ground,Drainage to Sanitary Appliance,,,
5.3.1.1.1,,Services,Disposal Installations,Foul Drainage Above Ground,Drainage to Sanitary Appliance,,Drainage to Sanitary Appliance,
5.3.1.2,,Services,Disposal Installations,Foul Drainage Above Ground,Drainage to Services Equipment,,,
5.3.1.2.1,,Services,Disposal Installations,Foul Drainage Above Ground,Drainage to Services Equipment,,Drainage to Services Equipment,
5.3.1.3,,Services,Disposal Installations,Foul Drainage Above Ground,Testing of Installations,,,
5.3.1.3.1,,Services,Disposal Installations,Foul Drainage Above Ground,Testing of Installations,,Testing of Installations,
5.3.1.4,,Services,Disposal Installations,Foul Drainage Above Ground,Commissioning of Installations,,,
5.3.1.4.1,,Services,Disposal Installations,Foul Drainage Above Ground,Commissioning of Installations,,Commissioning of Installations,
5.3.2,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,,,,
5.3.2.1,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,Drainage to Appliance or Equipment,,,
5.3.2.1.1,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,Drainage to Appliance or Equipment,,Drainage to Appliance or Equipment,
5.3.2.2,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,Testing of Installations,,,
5.3.2.2.1,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,Testing of Installations,,Testing of Installations,
5.3.2.3,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,Commissioning of Installations,,,
5.3.2.3.1,,Services,Disposal Installations,Chemical Toxic and Industrial Liquid Waste Drainage,Commissioning of Installations,,Commissioning of Installations,
5.3.3,,Services,Disposal Installations,Refuse Disposal,,,,
5.3.3.1,,Services,Disposal Installations,Refuse Disposal,Refuse Disposal Installations,,,
